code,name,unit,stock,deal,free,pur_deal,pur_free,cost,value,mrp,pur_rate,rate,company,manufact,rackno
"23368","ACE REVELOL 50/5 TAB  7 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"IPCA LTD","",""
"15209","ACEROC-P TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"15286","ACEROC-SR TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"15284","ACEROC TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"24531","ACERON-MR 4MG  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CFL PHARMACEUTICALS LTD.","",""
"24532","ACERON-MR 8MG  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CFL PHARMACEUTICALS LTD.","",""
"21652","ACERON PLUS TAB  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CFL PHARMACEUTICALS LTD.","",""
"24533","ACERON-P TABS  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CFL PHARMACEUTICALS LTD.","",""
"21653","ACERON SP TAB  10'S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CFL PHARMACEUTICALS LTD.","",""
"110","ACESPAR-200 TAB  4 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SHREYA LIFE SCIENCES PVT.LTD.","",""
"100","ACET-650 MG TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BEACON PHARMACEUTICAL","",""
"25840","ACETAL P TAB  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"TOTAL HEALTH CARE","",""
"26518","ACETAL SP TAB  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"TOTAL HEALTH CARE","",""
"30596","ACETAPRA 100  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SUN PHARMACEUTICAL IND","",""
"23126","ACETAZ-4.5GM INJ.  4.5 GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SPACE CARE","",""
"16053","ACETEN 12.5 MG TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"82","ACETEN 25 MG TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"26332","ACETONE-M SYRUP  200 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MODI PHARMA","",""
"25077","ACETRA COUGH SYR  100 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BEFAM","",""
"25078","ACETRA P SYR  100 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BEFAM","",""
"17594","ACETRA TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BEFAM","",""
"25878","ACETYL-G TAB  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ORDAIN HEALTHCARE PVT LTD","",""
"16644","ACEVAH-PS TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"16643","ACEVAH-P TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"117","ACFREE GEL  15 GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"RANBAXY.","",""
"93","ACHE OINT  30 GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"DUTT STEVENS PVT LTD","",""
"104","ACHROMYCIN 250 CAP  400 C","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PFIZER PRODUCT INDIA PVT LTD","",""
"25343","ACIBAN 40 TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CADILA ZYDUS","",""
"25344","ACIBAN DSR TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CADILA ZYDUS","",""
"29823","ACIBAN L  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CADILA PHARMACEUTICALS LTD","",""
"115","ACIBEL POWDER JAR  100 GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"S.C.CHEMICALS","",""
